Sample Name	% Dups	% GC	Length	M Seqs
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40965f.dupmarked	24.90%	51%	75 bp	119.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41920c.dupmarked	26.20%	54%	75 bp	116.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41002a.dupmarked	25.40%	54%	75 bp	116.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41908a.dupmarked	31.70%	50%	75 bp	115.4
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41039d.dupmarked	24.00%	54%	75 bp	114.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41900a.dupmarked	21.90%	57%	75 bp	114.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41901a.dupmarked	20.60%	55%	75 bp	111.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40990a.dupmarked	20.60%	54%	75 bp	111.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41922c.dupmarked	23.10%	51%	75 bp	111.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41019a.dupmarked	24.60%	55%	75 bp	108.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40972a.dupmarked	21.60%	54%	75 bp	107.4
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41005a.dupmarked	31.00%	51%	75 bp	106.3
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41002e.dupmarked	26.90%	52%	75 bp	106
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40961d.dupmarked	22.80%	53%	75 bp	104.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41920a.dupmarked	24.70%	55%	75 bp	103.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41034a.dupmarked	19.70%	55%	75 bp	102.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41006a.dupmarked	42.70%	58%	75 bp	98.7
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41039a.dupmarked	23.40%	56%	75 bp	97.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40961a.dupmarked	24.20%	51%	75 bp	97.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41032a.dupmarked	22.10%	54%	75 bp	97.7
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41043a.dupmarked	23.10%	58%	75 bp	97.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41907a.dupmarked	23.60%	52%	75 bp	95.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40971d.dupmarked	20.30%	54%	75 bp	94.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41001a.dupmarked	42.30%	52%	75 bp	93.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40969d.dupmarked	19.30%	54%	75 bp	91.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41038a.dupmarked	22.40%	60%	75 bp	90.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41036a.dupmarked	18.20%	53%	75 bp	90.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41909a.dupmarked	24.40%	55%	75 bp	86.4
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40976a.dupmarked	20.80%	53%	75 bp	84.3
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41915c.dupmarked	23.80%	53%	75 bp	80.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41000a.dupmarked	27.10%	52%	75 bp	78.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41895a.dupmarked	23.80%	53%	75 bp	78.3
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41027a.dupmarked	17.20%	54%	75 bp	77.7
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41035d.dupmarked	25.50%	51%	75 bp	76.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41007a.dupmarked	34.00%	56%	75 bp	76.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40980a.dupmarked	21.80%	52%	75 bp	75.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40982a.dupmarked	22.30%	54%	75 bp	73.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40987a.dupmarked	23.70%	53%	75 bp	72.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40983d.dupmarked	21.60%	51%	75 bp	71.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41042a.dupmarked	35.00%	49%	75 bp	69.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41033a.dupmarked	35.70%	77%	75 bp	66.7
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41900c.dupmarked	27.10%	59%	75 bp	64.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41021d.dupmarked	15.50%	55%	75 bp	62.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40987d.dupmarked	21.40%	53%	75 bp	59
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41910a.dupmarked	30.30%	57%	75 bp	58.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41906a.dupmarked	24.00%	59%	75 bp	54.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41910c.dupmarked	18.80%	58%	75 bp	54.4
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40964a.dupmarked	20.00%	55%	75 bp	51.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41046a.dupmarked	35.70%	70%	75 bp	49.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40980d.dupmarked	20.80%	56%	75 bp	48.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40973a.dupmarked	18.60%	54%	75 bp	45.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40983e.dupmarked	39.20%	48%	75 bp	40.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40986d.dupmarked	15.50%	53%	75 bp	34.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40978a.dupmarked	41.80%	58%	75 bp	29.7
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40956a.dupmarked	34.40%	73%	75 bp	20
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40952a.dupmarked	16.50%	66%	75 bp	17.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41907c.dupmarked	41.50%	48%	75 bp	7.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41014a.dupmarked	56.00%	48%	75 bp	2.5
