Genes	Samples	Tested	Mutated
FAM131B-BRAF	107	6	3
FBXL18-RNF216	1	1	1
FCHSD1-BRAF	2	1	1
FGFR1_ENST00000447712-PLAG1	16	10	1
FGFR1_ENST00000447712-TACC1	81	1	2
FGFR1_ENST00000447712-ZNF703	1	1	1
FGFR3_ENST00000440486-BAIAP2L1	31	1	1
FGFR3_ENST00000440486-TACC3	338	15	6
FN1_ENST00000336916-ALK	1	1	1
FUS-ATF1	6	2	5
FUS-CREB3L1	236	4	4
FUS-CREB3L2	332	98	8
FUS-DDIT3_ENST00000547303	627	351	37
FUS-ERG_ENST00000442448	53	53	13
FUS-FEV	1	1	1
GATM-BRAF	11	1	1
GMDS-PDE8B	1	1	1
GNAI1-BRAF	96	1	1
GOLGA5-RET	278	3	6
GOPC-ROS1	242	7	4
GPBP1L1_ENST00000290795-MAST2	153	1	1
HACL1-RAF1	11	1	1
HAS2-PLAG1	5	4	2
HERPUD1_ENST00000300302-BRAF	11	1	1
HEY1_ENST00000354724-NCOA2	31	8	2
HIP1-ALK	4	4	3
HLA-A-ROS1	38	1	1
HMGA2_ENST00000403681-ALDH2	1	1	1
HMGA2_ENST00000403681-CCNB1IP1_ENST00000358932	16	1	1
HMGA2_ENST00000403681-COX6C_ENST00000297564	16	1	1
HMGA2_ENST00000403681-EBF1	2	1	1
HMGA2_ENST00000403681-FHIT_ENST00000476844	60	1	3
HMGA2_ENST00000403681-LHFPL6	5	1	2
HMGA2_ENST00000403681-LPP	302	73	12
HMGA2_ENST00000403681-NFIB_ENST00000397581	166	4	6
HMGA2_ENST00000403681-RAD51B_ENST00000487270	40	5	2
HMGA2_ENST00000403681-WIF1	74	7	3
HNRNPA2B1_ENST00000356674-ETV1	219	5	4
HOOK3-RET	55	1	2
IL6R-ATP8B2	1	1	1
INTS4-GAB2	1	1	1
IRF2BP2-CDX1	4	1	1
JAZF1-PHF1	45	5	4
JAZF1-SUZ12	161	72	12
JPT1-USH1G	1	1	1
KIAA1549_ENST00000440172-BRAF	1395	613	36
KIF5B-ALK	2385	10	17
KIF5B-RET	4119	62	19
KLC1_ENST00000389744-ALK	301	1	2
KLK2-ETV1	25	1	1
KLK2-ETV4	1	1	1
KMT2A-ABI1	2	2	2
KMT2A-ABI2_ENST00000261017	1	1	1
KMT2A-ACTN4	2	2	1
KMT2A-AFDN_ENST00000392108	29	27	11
KMT2A-AFF1_ENST00000307808	2465	308	38
KMT2A-AFF3	127	4	4
KMT2A-AFF4	21	4	3
KMT2A-ARHGAP26	3	3	3
KMT2A-ARHGEF12	1	1	1
KMT2A-BTBD18	1	1	1
KMT2A-CASP8AP2	1	1	1
KMT2A-CBL	1	1	1
KMT2A-CEP170B	2	2	2
KMT2A-CIP2A	1	1	1
KMT2A-CREBBP	7	7	5
KMT2A-CT45A2_ENST00000612907	1	1	1
KMT2A-DAB2IP_ENST00000309989	1	1	1
KMT2A-EEFSEC	124	1	1
KMT2A-ELL	43	17	8
KMT2A-EP300	3	3	3
KMT2A-EPS15	131	9	6
KMT2A-FOXO3_ENST00000343882	2	2	2
KMT2A-FOXO4	1	1	1
KMT2A-FRYL	1	1	1
KMT2A-GAS7	2	2	2
KMT2A-GMPS	1	1	1
KMT2A-GPHN	1	1	1
KMT2A-KNL1	6	6	4
KMT2A-LASP1	1	1	1
KMT2A-LPP	1	1	1
KMT2A-MAPRE1	1	1	1
KMT2A-MLLT1	667	86	14
KMT2A-MLLT10_ENST00000377072	145	23	15
KMT2A-MLLT11	5	5	4
KMT2A-MLLT3	399	75	17
KMT2A-MLLT6	2	2	2
KMT2A-MYO1F	1	1	1
KMT2A-NCKIPSD	1	1	1
KMT2A-NRIP3	1	1	1
KMT2A-PDS5A	1	1	1
KMT2A-PICALM	1	1	1
KMT2A-PRRC1_ENST00000296666	1	1	1
KMT2A-SARNP	1	1	1
KMT2A-SEPT2_ENST00000360051	2	2	2
KMT2A-SEPT5	2	2	1
KMT2A-SEPT6	6	6	4
KMT2A-SEPT9	133	10	9
KMT2A-SH3GL1	1	1	1
KMT2A-SORBS2_ENST00000284776	1	1	1
KMT2A-TET1	3	3	2
KMT2A-TOP3A_ENST00000321105	1	1	1
KMT2A-ZFYVE19	1	1	1
KTN1-RET	147	2	4
LIFR-PLAG1	97	4	5
LMNA-NTRK1_ENST00000392302	38	2	1
LRIG3-ROS1	675	2	6
LSM14A-BRAF	38	1	1
MBOAT2-PRKCE	1	1	1
MBTD1-CXorf67	27	3	1
MEAF6-PHF1	8	4	3
MIA2_ENST00000280083-GEMIN2	1	1	1
MKRN1-BRAF	96	1	1
MN1-ETV6	13	10	7
MSN-ALK	2	2	2
MYB-NFIB_ENST00000397581	36	11	1
MYO5A-ROS1	38	1	1
NAB2-STAT6	297	231	13
NACC2_ENST00000371753-NTRK2_ENST00000376214	96	1	1
NCOA4-RET	4431	358	72
NDRG1_ENST00000323851-ERG_ENST00000442448	12	3	2
NF1-ASIC2	1	1	1
NFIA_ENST00000485903-EHF_ENST00000257831	1	1	1
NFIX_ENST00000360105-MAST1	153	1	1
NONO-TFE3	3	1	3
NOTCH1-GABBR2	153	1	1
NPM1_ENST00000517671-ALK	1344	319	51
NTN1-ACLY	1	1	1
NUP107-LGR5	18	1	1
NUP214-ABL1_ENST00000318560	873	45	12
NUP98-KDM5A	230	18	2
OMD-USP6_ENST00000250066	1	1	1
PAX3-FOXO1	1163	382	46
PAX3-NCOA1	6	4	2
PAX3-NCOA2	5	2	1
PAX5-JAK2	3	3	1
PAX7-FOXO1	981	100	33
PAX8_ENST00000429538-PPARG	1395	86	29
PCM1-JAK2	147	15	7
PCM1-RET	55	1	2
PLA2R1-RBMS1	1	1	1
PLXND1-TMCC1	1	1	1
PML-RARA	841	725	28
PPFIBP1_ENST00000228425-ALK	3	3	2
PPFIBP1_ENST00000228425-ROS1	38	2	1
PRCC-TFE3	16	11	10
PRKAR1A_ENST00000358598-RET	1126	30	25
PTPRK_ENST00000368226-RSPO3	69	5	1
PWWP2A_ENST00000456329-ROS1	38	2	1
QKI-NTRK2_ENST00000376214	96	2	1
RAF1-DAZL_ENST00000399444	1	1	1
RANBP2-ALK	28	18	8
RBM14-PACS1	1	1	1
RELCH-RET	549	1	1
RGS22-SYCP1_ENST00000369518	1	1	1
RNF130-BRAF	96	2	1
RUNX1-RUNX1T1_ENST00000360348	1597	417	39
SDC4-ROS1	677	5	6
SEC16A-NOTCH1	153	2	1
SEC31A_ENST00000348405-ALK	1	1	1
SEC31A_ENST00000348405-JAK2	132	2	1
SEPT8_ENST00000296873-AFF4	1	1	1
SET_ENST00000322030-NUP214	514	43	14
SFPQ-TFE3	4	3	4
SHTN1_ENST00000615301-ROS1	38	1	1
SLC22A1-CUTA_ENST00000440279	1	1	1
SLC26A6-PRKAR2A	1	1	1
SLC34A2-ROS1	1345	12	13
SLC3A2-NRG1	549	1	1
SLC45A3-BRAF	6	1	1
SLC45A3-ELK4	21	9	2
SLC45A3-ERG_ENST00000442448	260	47	3
SLC45A3-ETV1	218	2	3
SLC45A3-ETV5	1	1	1
SND1-BRAF	11	6	1
SQSTM1-ALK	1	1	1
SRGAP3-RAF1	53	4	3
SS18-SSX1	1314	577	92
SS18-SSX2	1315	348	92
SS18-SSX4B	260	6	12
SS18-USP6_ENST00000250066	1	0	1
SS18L1-SSX1	1	1	1
SSBP2_ENST00000320672-JAK2	132	1	2
SSH2_ENST00000269033-SUZ12	1	1	1
STIL_ENST00000360380-TAL1_ENST00000371884	1771	284	21
STRN-ALK	556	13	4
SUSD1_ENST00000374270-PTBP3_ENST00000374255	1	1	1
TADA2A-MAST1	153	1	1
TAF15_ENST00000604841-NR4A3_ENST00000395097	65	16	8
TBL1XR1-TP63	287	9	2
TCEA1-PLAG1	99	2	7
TCF12-NR4A3_ENST00000395097	1	1	1
TCF3-PBX1	3645	301	37
TECTA-TBCEL_ENST00000529397	1	1	1
TFG-ALK	340	5	11
TFG-NR4A3_ENST00000395097	4	1	1
TFG-NTRK1_ENST00000392302	495	2	10
THRAP3-USP6_ENST00000250066	1	1	1
TMPRSS2_ENST00000332149-ERG_ENST00000442448	6312	2639	65
TMPRSS2_ENST00000332149-ETV1	1078	21	19
TMPRSS2_ENST00000332149-ETV4	418	10	10
TMPRSS2_ENST00000332149-ETV5	1	1	1
TP53-NTRK1_ENST00000392302	38	1	1
TPM3-ROS1	399	2	4
TPM3_ENST00000368533-ALK	231	25	19
TPM3_ENST00000368533-NTRK1_ENST00000392302	629	32	14
TPM3_ENST00000368533-ROS1	38	1	1
TPM4_ENST00000300933-ALK	27	6	8
TPR-ALK	1	1	1
TPR-NTRK1_ENST00000392302	495	4	10
TRIM24-BRAF	549	1	1
TRIM24-RET	146	1	3
TRIM27-RET	71	1	2
TRIM33-RET	146	1	3
UBE2L3_ENST00000342192-KRAS_ENST00000311936	1	1	1
VCL-ALK	2	2	2
VTI1A-TCF7L2_ENST00000369397	98	4	1
WDCP-ALK	1	1	1
YWHAE-NUTM2A	685	2	1
YWHAE-NUTM2B	736	13	2
ZC3H7B-BCOR	4	2	2
ZCCHC8-ROS1	38	1	1
ZNF700_ENST00000254321-MAST1	153	1	1
ZSCAN30_ENST00000333206-BRAF	11	1	1
