Sample	LeftGene	RightGene	LeftGene_Name	RigthGene_Name	FFPM
2260_PR40961d	ENSG00000162627	ENSG00000138031	SNX7	ADCY3	0.4036
2260_PR40961d	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.3156
2260_PR40961d	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.3653
2260_PR40961d	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.2113
2260_PR40961d	ENSG00000025293	ENSG00000124177	PHF20	CHD6	0.3074
2260_PR40961d	ENSG00000219545	ENSG00000106415	RPA3-AS1	GLCCI1	0.1153
2260_PR40961d	ENSG00000038532	ENSG00000048471	CLEC16A	SNX29	0.1153
2260_PR40961d	ENSG00000230490	ENSG00000133121	RP11-141M1.3	STARD13	0.1495
2260_PR40961d	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.1249
2260_PR40961e	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.724
2260_PR40961e	ENSG00000162627	ENSG00000138031	SNX7	ADCY3	0.7485
2260_PR40961e	ENSG00000025293	ENSG00000124177	PHF20	CHD6	0.5032
2260_PR40961e	ENSG00000038532	ENSG00000048471	CLEC16A	SNX29	0.3068
2260_PR40961e	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.2086
2260_PR40961e	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1104
2260_PR40961e	ENSG00000230490	ENSG00000133121	RP11-141M1.3	STARD13	0.1064
2260_PR40961e	ENSG00000229715	ENSG00000073910	EEF1DP3	FRY	0.1473
2260_PR40961e	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.1971
2260_PR40961e	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.1104
2260_PR40961e	ENSG00000219545	ENSG00000106415	RPA3-AS1	GLCCI1	0.1473
2260_PR40961e	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.1165
2260_PR40962a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.1122
2260_PR40962a	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.1295
2260_PR40962a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1174
2260_PR40962a	ENSG00000075188	ENSG00000136504	NUP37	KAT7	0.1122
2260_PR40964a	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.5045
2260_PR40964a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1164
2260_PR40964a	ENSG00000141076	ENSG00000168807	CIRH1A	SNTB2	0.1552
2260_PR40965f	ENSG00000003393	ENSG00000079156	ALS2	OSBPL6	0.7728
2260_PR40965f	ENSG00000151532	ENSG00000108018	VTI1A	SORCS1	0.504
2260_PR40965f	ENSG00000164647	ENSG00000136237	STEAP1	RAPGEF5	0.1512
2260_PR40965f	ENSG00000078295	ENSG00000145536	ADCY2	ADAMTS16	0.2016
2260_PR40965f	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.1848
2260_PR40965f	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.2352
2260_PR40965f	ENSG00000099942	ENSG00000113389	CRKL	NPR3	0.234
2260_PR40965f	ENSG00000144320	ENSG00000116106	KIAA1715	EPHA4	0.1512
2260_PR40965f	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1638
2260_PR40965f	ENSG00000272053	ENSG00000111913	RP11-367G6.3	FAM65B	0.1344
2260_PR40965f	ENSG00000225851	ENSG00000206503	HLA-S	HLA-A	0.1176
2260_PR40965f	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.1008
2260_PR40965f	ENSG00000124275	ENSG00000249781	MTRR	CTD-2143L24.1	0.144
2260_PR40966a	ENSG00000100393	ENSG00000188107	EP300	EYS	0.366
2260_PR40966a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.2635
2260_PR40966a	ENSG00000272053	ENSG00000111913	RP11-367G6.3	FAM65B	0.1903
2260_PR40966a	ENSG00000236740	ENSG00000146147	RP11-411K7.1	MLIP	0.1903
2260_PR40966a	ENSG00000122566	ENSG00000110075	HNRNPA2B1	PPP6R3	0.2635
2260_PR40966a	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.1245
2260_PR40966a	ENSG00000256248	ENSG00000155974	RP11-123O10.4	GRIP1	0.1171
2260_PR40966a	ENSG00000146950	ENSG00000047644	SHROOM2	WWC3	0.1025
2260_PR40966a	ENSG00000150712	ENSG00000184208	MTMR12	C22orf46	0.1318
2260_PR40966a	ENSG00000243444	ENSG00000241978	PALM2	AKAP2	0.1172
2260_PR40966d	ENSG00000272053	ENSG00000111913	RP11-367G6.3	FAM65B	1.4849
2260_PR40966d	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.2769
2260_PR40966d	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.2097
2260_PR40966d	ENSG00000219545	ENSG00000106415	RPA3-AS1	GLCCI1	0.1929
2260_PR40966d	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.1259
2260_PR40966d	ENSG00000170525	ENSG00000215244	PFKFB3	RP11-563J2.2	0.151
2260_PR40966d	ENSG00000100393	ENSG00000188107	EP300	EYS	0.1762
2260_PR40966d	ENSG00000197147	ENSG00000171488	LRRC8B	LRRC8C	0.1007
2260_PR40966d	ENSG00000142973	ENSG00000186377	CYP4B1	CYP4X1	0.1043
2260_PR40966d	ENSG00000243444	ENSG00000241978	PALM2	AKAP2	0.1007
2260_PR40966e	ENSG00000243444	ENSG00000241978	PALM2	AKAP2	1.3268
2260_PR40966e	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.3902
2260_PR40966e	ENSG00000170525	ENSG00000215244	PFKFB3	RP11-563J2.2	0.4906
2260_PR40966e	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.4207
2260_PR40966e	ENSG00000142973	ENSG00000186377	CYP4B1	CYP4X1	0.4794
2260_PR40966e	ENSG00000229715	ENSG00000073910	EEF1DP3	FRY	0.5128
2260_PR40966e	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1449
2260_PR40966e	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.204
2260_PR40966e	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.1449
2260_PR40966e	ENSG00000253379	ENSG00000104313	RP11-1102P16.1	EYA1	0.1513
2260_PR40966e	ENSG00000197147	ENSG00000171488	LRRC8B	LRRC8C	0.1226
2260_PR40966e	ENSG00000219545	ENSG00000106415	RPA3-AS1	GLCCI1	0.2118
2260_PR40966e	ENSG00000255864	ENSG00000134532	RP11-444D3.1	SOX5	0.1272
2260_PR40966e	ENSG00000178573	ENSG00000261722	MAF	RP11-679B19.2	0.1003
2260_PR40967a	ENSG00000272053	ENSG00000111913	RP11-367G6.3	FAM65B	0.8128
2260_PR40967a	ENSG00000100030	ENSG00000225255	MAPK1	LA16c-83F12.6	0.8979
2260_PR40967a	ENSG00000196588	ENSG00000241973	MKL1	PI4KA	0.328
2260_PR40967a	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.1476
2260_PR40967a	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.1141
2260_PR40967a	ENSG00000100393	ENSG00000100416	EP300	TRMU	0.1711
2260_PR40968a	ENSG00000121892	ENSG00000153707	PDS5A	PTPRD	0.5659
2260_PR40968a	ENSG00000033327	ENSG00000149262	GAB2	INTS4	0.6702
2260_PR40968a	ENSG00000121892	ENSG00000176809	PDS5A	LRRC37A3	0.6102
2260_PR40968a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.4468
2260_PR40968a	ENSG00000137198	ENSG00000168214	GMPR	RBPJ	0.4616
2260_PR40968a	ENSG00000107164	ENSG00000138439	FUBP3	FAM117B	0.3402
2260_PR40968a	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.2515
2260_PR40968a	ENSG00000107077	ENSG00000185774	KDM4C	KCNIP4	0.3351
2260_PR40968a	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.1737
2260_PR40968a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.168
2260_PR40968a	ENSG00000114268	ENSG00000114302	PFKFB4	PRKAR2A	0.1936
2260_PR40968a	ENSG00000064999	ENSG00000112079	ANKS1A	STK38	0.1415
2260_PR40968a	ENSG00000112624	ENSG00000196735	GLTSCR1L	HLA-DQA1	0.2045
2260_PR40968a	ENSG00000151240	ENSG00000134532	DIP2C	SOX5	0.1861
2260_PR40968a	ENSG00000036257	ENSG00000144893	CUL3	MED12L	0.1478
2260_PR40968a	ENSG00000118369	ENSG00000162105	USP35	SHANK2	0.1608
2260_PR40968a	ENSG00000110237	ENSG00000139133	ARHGEF17	ALG10	0.1229
2260_PR40968a	ENSG00000110237	ENSG00000139133	ARHGEF17	ALG10	0.1117
2260_PR40969a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.5239
2260_PR40969a	ENSG00000152061	ENSG00000197959	RABGAP1L	DNM3	0.4567
2260_PR40969a	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.2015
2260_PR40969a	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.1746
2260_PR40969a	ENSG00000126870	ENSG00000106554	WDR60	CHCHD3	0.1209
2260_PR40969a	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.1209
2260_PR40969a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1382
2260_PR40969a	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.1477
2260_PR40969a	ENSG00000255864	ENSG00000134532	RP11-444D3.1	SOX5	0.1466
2260_PR40969d	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	1.2196
2260_PR40969d	ENSG00000113569	ENSG00000110799	NUP155	VWF	0.4683
2260_PR40969d	ENSG00000149658	ENSG00000120526	YTHDF1	NUDCD1	1.089
2260_PR40969d	ENSG00000183066	ENSG00000112992	WBP2NL	NNT	1.2491
2260_PR40969d	ENSG00000103995	ENSG00000114744	CEP152	COMMD2	0.9583
2260_PR40969d	ENSG00000113460	ENSG00000137764	BRIX1	MAP2K5	0.9071
2260_PR40969d	ENSG00000151881	ENSG00000213923	C5orf28	CSNK1E	0.6098
2260_PR40969d	ENSG00000099942	ENSG00000150361	CRKL	KLHL1	0.8058
2260_PR40969d	ENSG00000243156	ENSG00000249781	MICAL3	CTD-2143L24.1	0.6349
2260_PR40969d	ENSG00000163964	ENSG00000153071	PIGX	DAB2	0.7841
2260_PR40969d	ENSG00000151882	ENSG00000087460	CCL28	GNAS	0.693
2260_PR40969d	ENSG00000215440	ENSG00000069869	NPEPL1	NEDD4	0.5881
2260_PR40969d	ENSG00000099917	ENSG00000113387	MED15	SUB1	0.6752
2260_PR40969d	ENSG00000112992	ENSG00000243156	NNT	MICAL3	0.3702
2260_PR40969d	ENSG00000113460	ENSG00000137764	BRIX1	MAP2K5	0.3343
2260_PR40969d	ENSG00000082068	ENSG00000164187	WDR70	LMBRD2	0.4667
2260_PR40969d	ENSG00000151881	ENSG00000213923	C5orf28	CSNK1E	0.3485
2260_PR40969d	ENSG00000129003	ENSG00000087495	VPS13C	PHACTR3	0.3703
2260_PR40969d	ENSG00000197535	ENSG00000248478	MYO5A	RP11-3G20.2	0.3049
2260_PR40969d	ENSG00000112992	ENSG00000183066	NNT	WBP2NL	0.2139
2260_PR40969d	ENSG00000028528	ENSG00000113361	SNX1	CDH6	0.2178
2260_PR40969d	ENSG00000139926	ENSG00000139921	FRMD6	TMX1	0.2395
2260_PR40969d	ENSG00000037474	ENSG00000248973	NSUN2	RP11-445O3.2	0.2613
2260_PR40969d	ENSG00000183066	ENSG00000112992	WBP2NL	NNT	0.1595
2260_PR40969d	ENSG00000243156	ENSG00000249781	MICAL3	CTD-2143L24.1	0.171
2260_PR40969d	ENSG00000061938	ENSG00000138617	TNK2	PARP16	0.1743
2260_PR40969d	ENSG00000100345	ENSG00000100079	MYH9	LGALS2	0.2596
2260_PR40969d	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.2845
2260_PR40969d	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.1089
2260_PR40969d	ENSG00000173757	ENSG00000160953	STAT5B	MUM1	0.127
2260_PR40969d	ENSG00000145604	ENSG00000113460	SKP2	BRIX1	0.1307
2260_PR40969d	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.1294
2260_PR40969d	ENSG00000037474	ENSG00000248973	NSUN2	RP11-445O3.2	0.1307
2260_PR40969d	ENSG00000100345	ENSG00000100079	MYH9	LGALS2	0.1298
2260_PR40969d	ENSG00000103657	ENSG00000047346	HERC1	FAM214A	0.1416
2260_PR40969d	ENSG00000103657	ENSG00000047346	HERC1	FAM214A	0.1416
2260_PR40969d	ENSG00000082996	ENSG00000090487	RNF13	SPG21	0.2581
2260_PR40969d	ENSG00000134899	ENSG00000113569	ERCC5	NUP155	0.1089
2260_PR40969d	ENSG00000156970	ENSG00000169118	BUB1B	CSNK1G1	0.1089
2260_PR40969d	ENSG00000124164	ENSG00000171700	VAPB	RGS19	0.1065
2260_PR40969d	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1161
2260_PR40969d	ENSG00000113575	ENSG00000171444	PPP2CA	MCC	0.1307
2260_PR40969d	ENSG00000101158	ENSG00000125266	NELFCD	EFNB2	0.1307
2260_PR40969d	ENSG00000124164	ENSG00000171700	VAPB	RGS19	0.1331
2260_PR40969d	ENSG00000102804	ENSG00000113100	TSC22D1	CDH9	0.1089
2260_PR40969d	ENSG00000114790	ENSG00000254262	ARHGEF26	RP11-58O3.2	0.1089
2260_PR40969d	ENSG00000197535	ENSG00000248690	MYO5A	HAS2-AS1	0.1306
2260_PR40970a	ENSG00000137478	ENSG00000054965	FCHSD2	FAM168A	0.9668
2260_PR40970a	ENSG00000248049	ENSG00000197888	UBA6-AS1	UGT2B17	1.1786
2260_PR40970a	ENSG00000182287	ENSG00000008086	AP1S2	CDKL5	0.4143
2260_PR40970a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.452
2260_PR40970a	ENSG00000033178	ENSG00000087128	UBA6	TMPRSS11E	0.4521
2260_PR40970a	ENSG00000001629	ENSG00000188693	ANKIB1	CTB-161K23.1	0.3892
2260_PR40970a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.2386
2260_PR40970a	ENSG00000163113	ENSG00000188641	OTUD7B	DPYD	0.2763
2260_PR40970a	ENSG00000124006	ENSG00000116117	OBSL1	PARD3B	0.3014
2260_PR40970a	ENSG00000118197	ENSG00000185842	DDX59	DNAH14	0.2568
2260_PR40970a	ENSG00000118197	ENSG00000185842	DDX59	DNAH14	0.371
2260_PR40970a	ENSG00000175582	ENSG00000149503	RAB6A	INCENP	0.1883
2260_PR40970a	ENSG00000225851	ENSG00000206503	HLA-S	HLA-A	0.1883
2260_PR40970a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1883
2260_PR40970a	ENSG00000198589	ENSG00000173482	LRBA	PTPRM	0.1507
2260_PR40970a	ENSG00000081721	ENSG00000113448	DUSP12	PDE4D	0.1758
2260_PR40970a	ENSG00000150076	ENSG00000216937	C10orf68	CCDC7	0.1256
2260_PR40970a	ENSG00000188693	ENSG00000001629	CTB-161K23.1	ANKIB1	0.1883
2260_PR40970a	ENSG00000077514	ENSG00000166439	POLD3	RNF169	0.1004
2260_PR40970a	ENSG00000110237	ENSG00000255345	ARHGEF17	CTD-2337I7.1	0.1381
2260_PR40970a	ENSG00000136631	ENSG00000162761	VPS45	LMX1A	0.1005
2260_PR40970a	ENSG00000008086	ENSG00000182287	CDKL5	AP1S2	0.113
2260_PR40970a	ENSG00000203727	ENSG00000111961	SAMD5	SASH1	0.1004
2260_PR40970a	ENSG00000173482	ENSG00000198589	PTPRM	LRBA	0.1228
2260_PR40971a	ENSG00000136235	ENSG00000240230	GPNMB	COX19	3.5564
2260_PR40971a	ENSG00000078295	ENSG00000228327	ADCY2	RP11-206L10.2	1.3562
2260_PR40971a	ENSG00000137522	ENSG00000165457	RNF121	FOLR2	2.6735
2260_PR40971a	ENSG00000115239	ENSG00000137691	GPR75-ASB3	C11orf70	2.8723
2260_PR40971a	ENSG00000137497	ENSG00000185774	NUMA1	KCNIP4	1.9441
2260_PR40971a	ENSG00000115239	ENSG00000137691	GPR75-ASB3	C11orf70	1.72
2260_PR40971a	ENSG00000164548	ENSG00000185986	TRA2A	SDHAP3	1.8345
2260_PR40971a	ENSG00000196204	ENSG00000136231	RNF216P1	IGF2BP3	1.1257
2260_PR40971a	ENSG00000078295	ENSG00000187240	ADCY2	DYNC2H1	1.0515
2260_PR40971a	ENSG00000136235	ENSG00000006468	GPNMB	ETV1	1.4226
2260_PR40971a	ENSG00000214517	ENSG00000128604	PPME1	IRF5	0.8968
2260_PR40971a	ENSG00000011007	ENSG00000170633	TCEB3	RNF34	0.9432
2260_PR40971a	ENSG00000172493	ENSG00000109819	AFF1	PPARGC1A	0.7886
2260_PR40971a	ENSG00000106443	ENSG00000106049	PHF14	HIBADH	0.835
2260_PR40971a	ENSG00000152558	ENSG00000272601	TMEM123	RP11-155G14.5	0.5717
2260_PR40971a	ENSG00000166439	ENSG00000145147	RNF169	SLIT2	0.5412
2260_PR40971a	ENSG00000164916	ENSG00000002822	FOXK1	MAD1L1	0.6329
2260_PR40971a	ENSG00000146535	ENSG00000198517	GNA12	MAFK	0.4484
2260_PR40971a	ENSG00000150712	ENSG00000255516	MTMR12	RP11-164N3.1	0.5876
2260_PR40971a	ENSG00000164548	ENSG00000188002	TRA2A	RP11-43F13.1	0.4794
2260_PR40971a	ENSG00000115239	ENSG00000166266	GPR75-ASB3	CUL5	0.552
2260_PR40971a	ENSG00000137497	ENSG00000185774	NUMA1	KCNIP4	0.9261
2260_PR40971a	ENSG00000089053	ENSG00000187240	ANAPC5	DYNC2H1	0.402
2260_PR40971a	ENSG00000086232	ENSG00000008256	EIF2AK1	CYTH3	0.3286
2260_PR40971a	ENSG00000137497	ENSG00000185774	NUMA1	KCNIP4	0.441
2260_PR40971a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.2938
2260_PR40971a	ENSG00000150672	ENSG00000152582	DLG2	SPEF2	0.3402
2260_PR40971a	ENSG00000138297	ENSG00000214982	TIMM23	PARGP1	0.2242
2260_PR40971a	ENSG00000155897	ENSG00000132463	ADCY8	GRSF1	0.2629
2260_PR40971a	ENSG00000106537	ENSG00000042429	TSPAN13	MED17	0.2474
2260_PR40971a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.2629
2260_PR40971a	ENSG00000168014	ENSG00000110066	C2CD3	SUV420H1	0.3839
2260_PR40971a	ENSG00000137497	ENSG00000185774	NUMA1	KCNIP4	0.2916
2260_PR40971a	ENSG00000221990	ENSG00000070193	C5orf55	FGF10	0.232
2260_PR40971a	ENSG00000164647	ENSG00000136237	STEAP1	RAPGEF5	0.1005
2260_PR40971a	ENSG00000150672	ENSG00000149269	DLG2	PAK1	0.201
2260_PR40971a	ENSG00000163113	ENSG00000163131	OTUD7B	CTSS	0.1855
2260_PR40971a	ENSG00000048052	ENSG00000236414	HDAC9	AC004535.2	0.1701
2260_PR40971a	ENSG00000038382	ENSG00000188818	TRIO	ZDHHC11	0.1856
2260_PR40971a	ENSG00000172493	ENSG00000261347	AFF1	AP000439.5	0.1856
2260_PR40971a	ENSG00000178585	ENSG00000164366	CTNNBIP1	CCDC127	0.1392
2260_PR40971a	ENSG00000196204	ENSG00000136231	RNF216P1	IGF2BP3	0.1268
2260_PR40971a	ENSG00000225851	ENSG00000206503	HLA-S	HLA-A	0.1082
2260_PR40971a	ENSG00000063438	ENSG00000198517	AHRR	MAFK	0.1082
2260_PR40971a	ENSG00000087053	ENSG00000131620	MTMR2	ANO1	0.1237
2260_PR40971a	ENSG00000245552	ENSG00000166025	RP11-712B9.2	AMOTL1	0.1083
2260_PR40971a	ENSG00000242588	ENSG00000248693	RP11-274B21.1	CTD-2023M8.1	0.1083
2260_PR40971a	ENSG00000068912	ENSG00000154162	ERLEC1	CDH12	0.1083
2260_PR40971a	ENSG00000166266	ENSG00000217455	CUL5	AC091801.1	0.1083
2260_PR40971a	ENSG00000152582	ENSG00000068878	SPEF2	PSME4	0.1392
2260_PR40971a	ENSG00000146587	ENSG00000106266	RBAK	SNX8	0.1392
2260_PR40971a	ENSG00000068878	ENSG00000152582	PSME4	SPEF2	0.1458
2260_PR40971a	ENSG00000152767	ENSG00000185352	FARP1	HS6ST3	0.1547
2260_PR40971a	ENSG00000082068	ENSG00000255471	WDR70	RP11-736K20.5	0.1855
2260_PR40971a	ENSG00000086232	ENSG00000008256	EIF2AK1	CYTH3	0.1479
2260_PR40971d	ENSG00000136235	ENSG00000105963	GPNMB	ADAP1	3.4864
2260_PR40971d	ENSG00000137522	ENSG00000165457	RNF121	FOLR2	1.1494
2260_PR40971d	ENSG00000115239	ENSG00000137691	GPR75-ASB3	C11orf70	1.4426
2260_PR40971d	ENSG00000115239	ENSG00000137691	GPR75-ASB3	C11orf70	0.924
2260_PR40971d	ENSG00000137497	ENSG00000185774	NUMA1	KCNIP4	0.7704
2260_PR40971d	ENSG00000106443	ENSG00000106049	PHF14	HIBADH	0.7606
2260_PR40971d	ENSG00000078295	ENSG00000228327	ADCY2	RP11-206L10.2	0.8663
2260_PR40971d	ENSG00000078295	ENSG00000187240	ADCY2	DYNC2H1	0.6339
2260_PR40971d	ENSG00000137497	ENSG00000185774	NUMA1	KCNIP4	0.7646
2260_PR40971d	ENSG00000196204	ENSG00000136231	RNF216P1	IGF2BP3	0.5283
2260_PR40971d	ENSG00000172493	ENSG00000109819	AFF1	PPARGC1A	0.4437
2260_PR40971d	ENSG00000086232	ENSG00000008256	EIF2AK1	CYTH3	0.2747
2260_PR40971d	ENSG00000152558	ENSG00000272601	TMEM123	RP11-155G14.5	0.2958
2260_PR40971d	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.2958
2260_PR40971d	ENSG00000214517	ENSG00000128604	PPME1	IRF5	0.3206
2260_PR40971d	ENSG00000011007	ENSG00000170633	TCEB3	RNF34	0.2959
2260_PR40971d	ENSG00000272053	ENSG00000111913	RP11-367G6.3	FAM65B	0.2324
2260_PR40971d	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.2324
2260_PR40971d	ENSG00000146535	ENSG00000198517	GNA12	MAFK	0.2958
2260_PR40971d	ENSG00000137522	ENSG00000165457	RNF121	FOLR2	0.2029
2260_PR40971d	ENSG00000136235	ENSG00000154997	GPNMB	SEPT14	0.169
2260_PR40971d	ENSG00000150672	ENSG00000152582	DLG2	SPEF2	0.1901
2260_PR40971d	ENSG00000105889	ENSG00000136237	STEAP1B	RAPGEF5	0.169
2260_PR40971d	ENSG00000137497	ENSG00000185774	NUMA1	KCNIP4	0.1684
2260_PR40971d	ENSG00000172493	ENSG00000261347	AFF1	AP000439.5	0.1268
2260_PR40971d	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1384
2260_PR40971d	ENSG00000038382	ENSG00000188818	TRIO	ZDHHC11	0.1056
2260_PR40971d	ENSG00000173542	ENSG00000018189	MOB1B	RUFY3	0.1056
2260_PR40971d	ENSG00000164548	ENSG00000185986	TRA2A	SDHAP3	0.1267
2260_PR40971d	ENSG00000136235	ENSG00000006468	GPNMB	ETV1	0.1267
2260_PR40971d	ENSG00000137691	ENSG00000115239	C11orf70	GPR75-ASB3	0.1267
2260_PR40971d	ENSG00000136261	ENSG00000086991	BZW2	NOX4	0.1267
2260_PR40971d	ENSG00000214517	ENSG00000128604	PPME1	IRF5	0.1231
2260_PR40971d	ENSG00000150712	ENSG00000255516	MTMR12	RP11-164N3.1	0.1056
2260_PR40971d	ENSG00000137497	ENSG00000185774	NUMA1	KCNIP4	0.102
2260_PR40971d	ENSG00000178585	ENSG00000164366	CTNNBIP1	CCDC127	0.1057
2260_PR40971d	ENSG00000221990	ENSG00000070193	C5orf55	FGF10	0.1057
2260_PR40971d	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1152
2260_PR40972a	ENSG00000099942	ENSG00000150361	CRKL	KLHL1	1.8271
